Organism,Age_Group,Total_N,MDR_Count,XDR_Count,PDR_Count,MDR_Rate_%,XDR_Rate_%,PDR_Rate_%,Non_MDR_Count
Klebsiella pneumoniae,Pediatric,2410,1390,707,20,57.68,29.34,0.83,1020
Klebsiella pneumoniae,Elderly,13190,5648,2961,167,42.82,22.45,1.27,7542
Klebsiella pneumoniae,All,15600,7038,3668,187,45.12,23.51,1.2,8562
Acinetobacter baumannii,Pediatric,756,349,316,168,46.16,41.8,22.22,407
Acinetobacter baumannii,Elderly,3391,2470,2323,1238,72.84,68.5,36.51,921
Acinetobacter baumannii,All,4147,2819,2639,1406,67.98,63.64,33.9,1328
Escherichia coli,Pediatric,1905,773,208,1,40.58,10.92,0.05,1132
Escherichia coli,Elderly,20770,7812,1738,13,37.61,8.37,0.06,12958
Escherichia coli,All,22675,8585,1946,14,37.86,8.58,0.06,14090
Staphylococcus aureus,Pediatric,2724,236,0,0,8.66,0.0,0.0,2488
Staphylococcus aureus,Elderly,15388,2112,0,0,13.72,0.0,0.0,13276
Staphylococcus aureus,All,18112,2348,0,0,12.96,0.0,0.0,15764
Pseudomonas aeruginosa,Pediatric,1151,305,198,64,26.5,17.2,5.56,846
Pseudomonas aeruginosa,Elderly,8177,2165,1480,371,26.48,18.1,4.54,6012
Pseudomonas aeruginosa,All,9328,2470,1678,435,26.48,17.99,4.66,6858
Enterobacter cloacae,Pediatric,1080,324,130,6,30.0,12.04,0.56,756
Enterobacter cloacae,Elderly,4147,1276,569,27,30.77,13.72,0.65,2871
Enterobacter cloacae,All,5227,1600,699,33,30.61,13.37,0.63,3627
Enterococcus faecium,Pediatric,352,206,110,0,58.52,31.25,0.0,146
Enterococcus faecium,Elderly,3246,2180,1187,5,67.16,36.57,0.15,1066
Enterococcus faecium,All,3598,2386,1297,5,66.31,36.05,0.14,1212
Staphylococcus epidermidis,Pediatric,965,565,0,0,58.55,0.0,0.0,400
Staphylococcus epidermidis,Elderly,3165,1719,5,0,54.31,0.16,0.0,1446
Staphylococcus epidermidis,All,4130,2284,5,0,55.3,0.12,0.0,1846
Serratia marcescens,Pediatric,612,218,75,8,35.62,12.25,1.31,394
Serratia marcescens,Elderly,2658,898,215,9,33.78,8.09,0.34,1760
Serratia marcescens,All,3270,1116,290,17,34.13,8.87,0.52,2154
Citrobacter koseri,Pediatric,16,2,0,0,12.5,0.0,0.0,14
Citrobacter koseri,Elderly,458,44,0,0,9.61,0.0,0.0,414
Citrobacter koseri,All,474,46,0,0,9.7,0.0,0.0,428
Streptococcus pneumoniae,Pediatric,1893,377,0,0,19.92,0.0,0.0,1516
Streptococcus pneumoniae,Elderly,6171,803,0,0,13.01,0.0,0.0,5368
Streptococcus pneumoniae,All,8064,1180,0,0,14.63,0.0,0.0,6884
Haemophilus influenzae,Pediatric,420,0,0,0,0.0,0.0,0.0,420
Haemophilus influenzae,Elderly,892,4,4,0,0.45,0.45,0.0,888
Haemophilus influenzae,All,1312,4,4,0,0.3,0.3,0.0,1308
Salmonella spp,Pediatric,5,2,2,0,40.0,40.0,0.0,3
Salmonella spp,Elderly,3,0,0,0,0.0,0.0,0.0,3
Salmonella spp,All,8,2,2,0,25.0,25.0,0.0,6
