WHO_Region,Year,Total_N,MDR_Count,XDR_Count,MDR_Rate_%,XDR_Rate_%,Sufficient
AFRO,2004,3,1,0,33.33,0.0,NO
AFRO,2005,18,2,0,11.11,0.0,YES
AFRO,2006,14,3,2,21.43,14.29,YES
AFRO,2007,50,17,8,34.0,16.0,YES
AFRO,2008,9,1,1,11.11,11.11,NO
AFRO,2009,27,10,6,37.04,22.22,YES
AFRO,2010,0,0,0,,,NO
AFRO,2011,16,7,4,43.75,25.0,YES
AFRO,2012,10,2,2,20.0,20.0,YES
AFRO,2013,0,0,0,,,NO
AFRO,2014,52,26,5,50.0,9.62,YES
AFRO,2015,15,6,1,40.0,6.67,YES
AFRO,2016,40,20,1,50.0,2.5,YES
AFRO,2017,83,31,9,37.35,10.84,YES
AFRO,2018,122,72,31,59.02,25.41,YES
AFRO,2019,180,105,44,58.33,24.44,YES
AFRO,2020,250,143,65,57.2,26.0,YES
AFRO,2021,302,206,109,68.21,36.09,YES
AFRO,2022,176,118,62,67.05,35.23,YES
AFRO,2023,148,92,40,62.16,27.03,YES
AFRO,2024,245,168,78,68.57,31.84,YES
AMRO,2004,1367,249,150,18.22,10.97,YES
AMRO,2005,1969,305,176,15.49,8.94,YES
AMRO,2006,1631,312,187,19.13,11.47,YES
AMRO,2007,2266,383,249,16.9,10.99,YES
AMRO,2008,1522,399,280,26.22,18.4,YES
AMRO,2009,1699,447,298,26.31,17.54,YES
AMRO,2010,998,240,156,24.05,15.63,YES
AMRO,2011,779,116,76,14.89,9.76,YES
AMRO,2012,802,122,63,15.21,7.86,YES
AMRO,2013,816,105,60,12.87,7.35,YES
AMRO,2014,1146,331,111,28.88,9.69,YES
AMRO,2015,1282,350,105,27.3,8.19,YES
AMRO,2016,1271,369,106,29.03,8.34,YES
AMRO,2017,935,321,98,34.33,10.48,YES
AMRO,2018,1357,619,159,45.62,11.72,YES
AMRO,2019,1608,738,210,45.9,13.06,YES
AMRO,2020,1807,801,253,44.33,14.0,YES
AMRO,2021,1841,796,251,43.24,13.63,YES
AMRO,2022,1495,569,193,38.06,12.91,YES
AMRO,2023,1311,505,128,38.52,9.76,YES
AMRO,2024,1338,563,137,42.08,10.24,YES
EMRO,2004,18,11,10,61.11,55.56,YES
EMRO,2005,23,10,5,43.48,21.74,YES
EMRO,2006,36,23,14,63.89,38.89,YES
EMRO,2007,13,1,0,7.69,0.0,YES
EMRO,2008,0,0,0,,,NO
EMRO,2009,111,34,26,30.63,23.42,YES
EMRO,2010,26,13,9,50.0,34.62,YES
EMRO,2011,162,61,32,37.65,19.75,YES
EMRO,2012,128,49,32,38.28,25.0,YES
EMRO,2013,70,24,13,34.29,18.57,YES
EMRO,2014,49,17,4,34.69,8.16,YES
EMRO,2015,111,40,10,36.04,9.01,YES
EMRO,2016,108,35,12,32.41,11.11,YES
EMRO,2017,115,63,15,54.78,13.04,YES
EMRO,2018,186,101,41,54.3,22.04,YES
EMRO,2019,272,143,61,52.57,22.43,YES
EMRO,2020,199,104,33,52.26,16.58,YES
EMRO,2021,218,132,52,60.55,23.85,YES
EMRO,2022,134,78,31,58.21,23.13,YES
EMRO,2023,117,65,23,55.56,19.66,YES
EMRO,2024,150,81,20,54.0,13.33,YES
EURO,2004,752,140,77,18.62,10.24,YES
EURO,2005,557,100,57,17.95,10.23,YES
EURO,2006,922,174,107,18.87,11.61,YES
EURO,2007,1523,292,175,19.17,11.49,YES
EURO,2008,2491,617,391,24.77,15.7,YES
EURO,2009,2640,666,429,25.23,16.25,YES
EURO,2010,2279,643,410,28.21,17.99,YES
EURO,2011,1850,362,195,19.57,10.54,YES
EURO,2012,1579,312,156,19.76,9.88,YES
EURO,2013,2119,383,204,18.07,9.63,YES
EURO,2014,3320,912,353,27.47,10.63,YES
EURO,2015,2873,717,212,24.96,7.38,YES
EURO,2016,2808,751,230,26.75,8.19,YES
EURO,2017,2724,737,208,27.06,7.64,YES
EURO,2018,2512,1094,312,43.55,12.42,YES
EURO,2019,3189,1286,462,40.33,14.49,YES
EURO,2020,3430,1362,436,39.71,12.71,YES
EURO,2021,3231,1262,375,39.06,11.61,YES
EURO,2022,3485,1309,424,37.56,12.17,YES
EURO,2023,2812,1101,337,39.15,11.98,YES
EURO,2024,2928,1182,365,40.37,12.47,YES
SEARO,2004,10,6,3,60.0,30.0,YES
SEARO,2005,0,0,0,,,NO
SEARO,2006,21,17,13,80.95,61.9,YES
SEARO,2007,97,61,48,62.89,49.48,YES
SEARO,2008,77,36,29,46.75,37.66,YES
SEARO,2009,16,9,9,56.25,56.25,YES
SEARO,2010,8,4,1,50.0,12.5,NO
SEARO,2011,0,0,0,,,NO
SEARO,2012,0,0,0,,,NO
SEARO,2013,0,0,0,,,NO
SEARO,2014,18,6,0,33.33,0.0,YES
SEARO,2015,59,33,14,55.93,23.73,YES
SEARO,2016,96,49,18,51.04,18.75,YES
SEARO,2017,33,13,0,39.39,0.0,YES
SEARO,2018,169,112,54,66.27,31.95,YES
SEARO,2019,314,203,87,64.65,27.71,YES
SEARO,2020,463,280,149,60.48,32.18,YES
SEARO,2021,377,265,122,70.29,32.36,YES
SEARO,2022,243,170,75,69.96,30.86,YES
SEARO,2023,282,200,87,70.92,30.85,YES
SEARO,2024,277,188,95,67.87,34.3,YES
WPRO,2004,155,19,10,12.26,6.45,YES
WPRO,2005,72,10,8,13.89,11.11,YES
WPRO,2006,730,148,88,20.27,12.05,YES
WPRO,2007,551,124,66,22.5,11.98,YES
WPRO,2008,228,55,28,24.12,12.28,YES
WPRO,2009,316,105,69,33.23,21.84,YES
WPRO,2010,260,84,42,32.31,16.15,YES
WPRO,2011,0,0,0,,,NO
WPRO,2012,0,0,0,,,NO
WPRO,2013,0,0,0,,,NO
WPRO,2014,287,136,29,47.39,10.1,YES
WPRO,2015,587,197,64,33.56,10.9,YES
WPRO,2016,743,248,56,33.38,7.54,YES
WPRO,2017,521,173,29,33.21,5.57,YES
WPRO,2018,654,346,84,52.91,12.84,YES
WPRO,2019,850,473,119,55.65,14.0,YES
WPRO,2020,636,287,70,45.13,11.01,YES
WPRO,2021,1037,488,113,47.06,10.9,YES
WPRO,2022,1100,489,116,44.45,10.55,YES
WPRO,2023,708,350,86,49.44,12.15,YES
WPRO,2024,680,337,75,49.56,11.03,YES
